CONTEC DATA LOGGER,,,,,,,,
Version,Channels,DeviceName,Resolution,SerialNo,Clock,Time Integer,SamplingStartDate,Number
4480,3,AIO-163202FX-USB,16,CONTEC0000,1000,1.49137E+15,"2017/04/05 15:20:26'000""000",10000
ChannelName,DeviceCh,Sequence,Range,ScalingEnabled,MaxScale,MinScale,Option,
Channel 1,1,0,0,0,10,-10,0,
Channel 2,2,1,0,0,10,-10,0,
Channel 3,3,2,0,0,10,-10,0,
Data,,,,,35398.1061,35358.7681,35532.8537,
35404,35376,35550,,,,,,
35395,35372,35550,,,,,,
35400,35376,35551,,,,,,
35404,35373,35550,,,,,,
35402,35368,35553,,,,,,
35404,35368,35552,,,,,,
35399,35366,35553,,,,,,
35403,35371,35554,,,,,,
35398,35366,35547,,,,,,
35402,35372,35551,,,,,,
35405,35374,35553,,,,,,
35401,35369,35551,,,,,,
35404,35374,35549,,,,,,
35397,35366,35550,,,,,,
35400,35368,35549,,,,,,
35399,35368,35549,,,,,,
35403,35364,35548,,,,,,
35405,35361,35552,,,,,,
35398,35360,35550,,,,,,
35402,35364,35550,,,,,,
35403,35375,35552,,,,,,
35406,35383,35552,,,,,,
35402,35370,35550,,,,,,
35404,35375,35551,,,,,,
35402,35372,35551,,,,,,
35404,35374,35553,,,,,,
35401,35372,35551,,,,,,
35400,35372,35546,,,,,,
35400,35372,35548,,,,,,
35402,35372,35549,,,,,,
35407,35384,35562,,,,,,
35405,35373,35557,,,,,,
35405,35373,35549,,,,,,
35400,35376,35552,,,,,,
35408,35370,35546,,,,,,
35398,35374,35546,,,,,,
35402,35375,35548,,,,,,
35409,35371,35555,,,,,,
35403,35369,35552,,,,,,
35407,35365,35549,,,,,,
35408,35367,35543,,,,,,
35408,35372,35543,,,,,,
35401,35366,35550,,,,,,
35401,35368,35553,,,,,,
35402,35372,35553,,,,,,
35401,35373,35552,,,,,,
35403,35373,35548,,,,,,
35405,35365,35550,,,,,,
35405,35364,35543,,,,,,
35405,35364,35551,,,,,,
35404,35368,35548,,,,,,
35405,35367,35553,,,,,,
35404,35373,35546,,,,,,
35403,35365,35548,,,,,,
35404,35369,35552,,,,,,
35404,35366,35546,,,,,,
35403,35364,35549,,,,,,
35400,35371,35551,,,,,,
35400,35370,35551,,,,,,
